Country,Total Death,Crew Death,Passengers Death,Ground Death,Type,Incident,Aircraft
Russia,72,8,15,49,MIL,Russian Air Force (RA-82005),Antonov An-124-100
Russia,145,9,136,0,COM,Vladivostok Air Flight 352,Tupolev Tu-154M
Russia,127,0,127,0,MIL,Russian Air Force (89 red),Mil Mi-26
Russia,113,8,105,0,COM,Armavia Flight 967,Airbus A320-221
Russia,125,5,120,0,COM,Sibir (S7) Airlines Flight 778,Airbus A310-300
Russia,88,6,82,0,COM,Aeroflot-Nord Flight 821,Boeing 737-505
Russia,96,8,88,0,MIL,Polish Air Force (101),Tupolev Tu-154M
Russia,50,6,44,0,COM,Tatarstan Airlines Flight 363,Boeing 737-53A
Russia,62,7,55,0,COM,Flydubai Flight 981,Boeing 737-8KN
Russia,92,8,84,0,MIL,Russian Air Force (RA-85572),Tupolev Tu-154
Russia,71,6,65,0,COM,Saratov Airlines Flight 703,Antonov An-148
RussianSFSR,269,23,246,0,EXS,Korean Air Lines Flight 007,Boeing 747-230B
SaudiArabia,81,15,66,0,INB,Middle East Airlines Flight 438,Boeing 720-023B
SaudiArabia,63,3,60,0,INH,Iraqi Airways Flight 163,Boeing 737-270C
SaudiArabia,261,14,247,0,COM,Nigeria Airways Flight 2120,McDonnell Douglas DC-8-61
Senegal,63,8,55,0,COM,Air France Flight 343,Lockheed L-1049G
Somalia,50,6,44,0,COM,Somali Airlines Flight 40,Fokker F27 Friendship 600
SouthJorea,59,3,12,44,MIL,Korean Air Force,Curtiss C-46
SouthKorea,53,6,47,0,MIL,Korean Air Force,Fairchild C-123J
SouthKorea,53,4,49,0,MIL,Korean Air Force (56-4391),Fairchild C-123J
SouthKorea,68,2,66,0,COM,Asiana Airlines Flight 733,Boeing 737-5L9
SouthKorea,129,8,121,0,COM,Air China Flight 129,Boeing 767-2J6ER
SouthSudan,60,3,57,0,EXG,Sudan Airways (ST-ADY),Fokker F27 Friendship 400M
Spain,80,7,73,0,COM,Union de Transportes Aériens (F-BHMS),Douglas DC-6B
Spain,112,7,105,0,COM,Dan-Air (G-APDN),de Havilland Comet 4
Spain,104,6,98,0,COM,Iberia Airlines Flight 602,Sud Aviation SE 210 Caravelle
Spain,155,7,148,0,COM,Spantax Flight 275,Convair 990 Coronado
Spain,86,6,79,1,COM,Aviaco Flight 118,Sud Aviation SE 210 Caravelle 10R
Spain,583,23,560,0,COM,Pan Am Flight 1736 andKLM Flight 4805,Boeing 747-121 and Boeing 747-206B
Spain,50,3,47,0,COM,Spantax Flight 995,McDonnell Douglas DC-10-30
Spain,181,19,162,0,COM,Avianca Flight 011,Boeing 747-283B
Spain,93,6,87,0,COM,Iberia Flight 350 and Aviaco Flight 134,Boeing 727 and McDonnell Douglas DC-9
Spain,148,7,141,0,COM,Iberia Airlines Flight 610,Boeing 727-256
Spain,154,6,148,0,COM,Spanair Flight 5022,McDonnell Douglas MD-82
SriLanka,191,9,182,0,COM,Martinair Holland Flight 138,Douglas DC-8-55F
SriLanka,183,8,175,0,COM,Icelandic Airlines Flight 001,Douglas DC-8-63CF
SriLanka,52,3,49,0,EXG,Sri Lanka Air Force (4R-HVA),British Aerospace BAe-748-357 Srs. 2b
SriLanka,75,5,70,0,MIL,Sri Lanka Air Force (CR861),Antonov An-32B
SriLanka,62,6,56,0,MIL,Sri Lanka Air Force (CR862),Antonov An-32B
SriLanka,55,7,48,0,EXG,Lionair Flight 602,Antonov An-24
Sudan,91,5,86,0,MIL,Sudanese Air Force,Lockheed C-130H Hercules
Sudan,53,6,47,0,COM,Federal Airlines (ST-FAG),Antonov An-24RV
Sudan,50,0,0,0,MIL,Sudanese Air Force,Antonov An-32
Sudan,117,11,105,0,COM,Sudan Airways Flight 139,Boeing 737-200C
Surinam,176,9,167,0,COM,Surinam Airways Flight 764,Douglas DC-8-62
Switzerland,80,6,74,0,COM,Swissair Flight 306,Sud Aviation SE-210 Caravelle III
Switzerland,108,4,104,0,COM,Invicta International Airlines Flight 435,Vickers 952 Vanguard
Syria,54,4,50,0,COM,Alia Royal Jordanian Airlines Herald (JY-ACQ),Handley Page HPR-7 Herald 207
syria,126,11,115,0,COM,ČSA Flight 540,Ilyushin Il-62
Taiwan,57,5,52,0,COM,Civil Air Transport (B-908),Curtiss C-46D-10-CU
Taiwan,110,6,104,0,COM,Far Eastern Air Transport Flight 103,Boeing 737-222
Taiwan,54,7,47,0,COM,China Airlines Flight 204,Boeing 737-209
Taiwan,203,14,182,7,COM,China Airlines Flight 676,Airbus A300B4-622R
Taiwan,83,4,79,0,COM,Singapore Airlines Flight 006,Boeing 747-412
Taiwan,225,19,206,0,COM,China Airlines Flight 611,Boeing 747-209B
Tajikistan,82,5,77,0,COM,Tajikistan Airlines (87995),Yakovlev Yak-40
Thailand,71,9,43,19,COM,EgyptAir Flight 864,Boeing 707-366C
Thailand,83,9,74,0,COM,Thai Airways Flight 365,Boeing 737-2P5
Thailand,76,3,73,0,COM,Vietnam Airlines Flight 831,Tupolev Tu-134
Thailand,223,10,213,0,COM,Lauda Air Flight 004,Boeing 767-3Z9ER
Thailand,101,11,90,0,COM,Thai Airways Flight 261,Airbus A310-300
Thailand,90,5,85,0,COM,One-Two-GO Airlines Flight 269,McDonnell Douglas MD-82
Turkey,104,6,11,87,COM,Middle East Airlines Flight 265 andTurkish Air Force (CBK-28),Vickers Viscount 754D and Douglas C-47
Turkey,66,7,59,0,INB,Cyprus Airways Flight 284,de Havilland Comet 4
Turkey,66,4,62,0,COM,Turkish Airlines Flight 301,Fokker F28-1000 Fellowship
Turkey,154,8,146,0,COM,Turkish Airlines Flight 452,Boeing 727-2F2
Turkey,57,5,52,0,COM,Turkish Airlines Flight 278,Boeing 737-4Y0
Turkey,78,12,66,0,EXG,Siberia Airlines Flight 1812,Tupolev Tu-154M
Turkey,75,5,70,0,COM,Turkish Airlines Flight 634,Avro RJ100
Turkey,75,13,62,0,COM,UM Airlines Flight 4230,Yakovlev Yak-42
Turkey,57,7,50,0,COM,Atlasjet Flight 4203,McDonnell Douglas MD-83
UK,61,3,0,58,MIL,US Army Air Force (42-50291),Consolidated B-24 Liberator
UK,80,5,75,0,COM,Fairflight (G-AKBY),Avro 689 Tudor V
UK,72,3,69,0,COM,British Midland Airways Flight (G-ALHG),Canadair C-4 Argonaut
UK,50,5,43,2,COM,Ariana Afghan Airlines Flight 701,Boeing 727-113C
UK,55,2,53,0,COM,British Airtours Flight 28M,Boeing 737-236
Ukraine,77,0,0,77,MIL,Sknyliv air show disaster,Sukhoi Su-27
Ukraine,170,10,160,0,COM,Pulkovo Flight 612,Tupolev Tu-154M
Ukraine,298,15,283,0,EXG,Malaysia Airlines Flight 17,Boeing 777-2H6ER
United States of America,97,10,87,0,COM,Pan Am Flight 806,Boeing 707-321B
UnitedArabEmirates,112,6,106,0,COM,Sterling Airways Flight 296,Sud Aviation Caravelle
UnitedArabEmirates,112,5,107,0,INB,Gulf Air Flight 771,Boeing 737-2P6
UnitedArabEmirates,85,6,79,0,COM,Tajikistan Airlines Flight 3183,Tupolev Tu-154B-1
UnitedKingdom,118,9,109,0,COM,British European Airways Flight 548,Hawker Siddeley Trident 1C
UnitedKingdom,270,16,243,11,INB,Pan Am Flight 103,Boeing 747-121
Uruguay,74,5,69,0,COM,Austral Líneas Aéreas Flight 2553,McDonnell Douglas DC-9-32
US,73,0,0,0,MIL,USS Akron,Akron-class rigid airship
US,53,4,49,0,COM,Eastern Air Lines Flight 605,Douglas DC-4
US,50,3,47,0,COM,Pennsylvania Central Airlines Flight 410,Douglas C-54 Skymaster
US,52,5,47,0,COM,United Airlines Flight 608,Douglas DC-6
US,53,1,52,0,COM,Strato-Freight (NC92857),Curtiss C-46D-5-CU
US,55,4,51,0,COM,Eastern Air Lines Flight 537 andBolivian Air Force (NX26927),Douglas DC-4 and Lockheed P-38 Lightning
US,58,3,55,0,COM,Northwest Orient Airlines Flight 2501,Douglas DC-4
US,50,5,45,0,COM,United Airlines Flight 610,Douglas DC-6
US,50,6,44,0,COM,United Airlines Flight 615,Douglas DC-6B
US,56,4,52,0,COM,Miami Airlines (N1678M),Curtiss C-46F-1-CU
US,52,0,52,0,COM,Pan Am Flight 526A,Douglas DC-4
US,52,11,41,0,MIL,US Air Force (51-0107),Douglas C-124A-DL Globemaster II
US,87,5,82,0,MIL,US Air Force (50-0100),Douglas C-124A Globemaster II
US,66,9,57,0,COM,United States Navy (131612),Douglas R6D-1 (DC-6)
US,66,3,63,0,COM,United Airlines Flight 409,Douglas DC-4
US,74,10,64,0,COM,Linea Aeropostal Venezolana Flight 253,Lockheed L-1049 Super Constellation
US,128,11,117,0,COM,United Airlines Flight 718 andTWA Flight 2,Douglas DC-7 and Lockheed L-1049
US,65,2,63,0,COM,American Airlines Flight 320,Lockheed L-188 Electra
US,50,4,46,0,COM,Capital Airlines Flight 20,Vickers Viscount 745D
US,63,6,57,0,COM,Northwest Orient Airlines Flight 710,Lockheed L-188C Electra
US,80,7,73,0,COM,World Airways Flight 830,Douglas DC-6A
US,62,3,59,0,COM,Eastern Air Lines Flight 375,Lockheed L-188 Electra
US,134,12,116,6,COM,United Airlines Flight 826 andTWA Flight 266,Douglas DC-8-21 and Lockheed L-1049
US,78,5,73,0,COM,TWA Flight 529,Lockheed L-049 Constellation
US,77,3,74,0,COM,Imperial Airlines Flight 201/8,Lockheed L-049 Constellation
US,95,8,87,0,COM,American Airlines Flight 1,Boeing 707-123B
US,101,6,95,0,COM,Northwest Airlines Flight 293,Douglas DC-7CF
US,81,8,73,0,COM,Pan Am Flight 214,Boeing 707-121
US,58,7,51,0,COM,Eastern Air Lines Flight 304,Douglas DC-8
US,85,4,81,0,COM,Paradise Airlines Flight 901A,Lockheed L-049 Constellation
US,84,5,79,0,COM,Eastern Air Lines Flight 663,Douglas DC-7B
US,84,12,72,0,MIL,US Air Force (60-0373),Boeing C-135 Stratolifter
US,58,5,53,0,COM,American Airlines Flight 383,Boeing 727-23
US,83,5,78,0,COM,American Flyers Flight 280,Lockheed L-188 Electra
US,82,6,76,0,COM,Piedmont Airlines Flight 22 andPrivate aircraft (N31215S),Boeing 727-22 and Cessna 310
US,70,5,65,0,COM,TWA Flight 128,Convair CV-880-22-1
US,85,5,80,0,COM,Braniff Flight 352,Lockheed L-188A Electra
US,83,5,78,0,COM,Allegheny Airlines Flight 853 andPrivate aircraft (N7374J),McDonnell Douglas DC-9-30 and Piper PA-28 Cherokee
US,75,4,71,0,COM,Southern Airways Flight 932,McDonnell Douglas DC-9-31
US,50,6,44,0,COM,Hughes Airwest Flight 706 andUS Marine Corps (151458),McDonnell Douglas DC-9-31 and McDonnell Douglas F-4 Phantom II
US,111,7,104,0,COM,Alaska Airlines Flight 1866,Boeing 727-100
US,101,5,96,0,COM,Eastern Air Lines Flight 401,Lockheed L-1011-385-1 TriStar 1
US,89,6,83,0,COM,Delta Air Lines Flight 723,McDonnell Douglas DC-9-31
US,72,2,70,0,COM,Eastern Air Lines Flight 212,McDonnell Douglas DC-9-31
US,92,7,85,0,COM,TWA Flight 514,Boeing 727-231
US,113,6,107,0,COM,Eastern Air Lines Flight 66,Boeing 727-225
US,72,2,61,9,COM,Southern Airways Flight 242,McDonnell Douglas DC-9-31
US,144,9,128,7,COM,PSA Flight 182 andPrivate aircraft (N7711G),Boeing 727-214 and Cessna 172
US,273,13,258,2,COM,American Airlines Flight 191,McDonnell Douglas DC-10-10
US,78,4,70,4,COM,Air Florida Flight 90,Boeing 737-222
US,153,7,138,8,COM,Pan Am Flight 759,Boeing 727-235
US,70,6,64,0,COM,Galaxy Airlines Flight 203,Lockheed L-188 Electra
US,137,8,128,1,COM,Delta Air Lines Flight 191,Lockheed L-1011 TriStar
US,82,7,60,15,COM,Aeroméxico Flight 498 and Private aircraft (N4891F),McDonnell Douglas DC-9-32 and Piper PA-28-181 Archer
US,156,6,148,2,COM,Northwest Airlines Flight 255,McDonnell Douglas DC-9-82
US,112,1,111,0,COM,United Airlines Flight 232,McDonnell Douglas DC-10-10
US,73,8,65,0,COM,Avianca Flight 52,Boeing 707-321B
US,132,5,127,0,COM,USAir Flight 427,Boeing 737-3B7
US,68,4,64,0,COM,American Eagle Flight 4184,ATR 72-212
US,110,5,105,0,COM,ValuJet Flight 592,McDonnell Douglas DC-9-32
US,229,14,215,0,COM,Korean Air Flight 801,Boeing 747-3B5
US,"1,700",11,81,"1,600",INH,American Airlines Flight 11,Boeing 767-223ER
US,"1,000",9,56,900,INH,United Airlines Flight 175,Boeing 767-222
US,189,6,58,125,INH,American Airlines Flight 77,Boeing 757-223
US,50,4,45,1,COM,Colgan Air Flight 3407[nb 36],Bombardier DHC8-402 Q400
USSR,64,11,53,0,COM,Aeroflot Flight 4,Tupolev Tu-104A
USSR,80,9,71,0,COM,Aeroflot (CCCP-42362),Tupolev Tu-104A
USSR,59,9,50,0,COM,Aeroflot Flight 245,Ilyushin Il-18B
USSR,84,8,76,0,EXG,Aeroflot Flight 902,Tupolev Tu-104A
USSR,81,7,74,0,COM,Aeroflot Flight 415,Antonov An-10A
USSR,86,7,79,0,COM,Aeroflot Flight 3,Tupolev Tu-104A
USSR,67,8,59,0,COM,Aeroflot Flight 25,Ilyushin Il-18
USSR,87,9,78,0,COM,Aeroflot Flight 721,Ilyushin Il-18V
USSR,64,3,61,0,COM,Aeroflot Flight 20,Ilyushin Il-18B
USSR,107,8,99,0,COM,Aeroflot Flight 2230,Ilyushin Il-18V
USSR,83,9,74,0,COM,Aeroflot Flight 15,Ilyushin Il-18D
USSR,120,10,110,0,COM,Aeroflot Flight 831 and Soviet Air Force An-12,Ilyushin Il-14M and Antonov An-12BP
USSR,55,4,51,0,COM,Aeroflot Flight H-826,Antonov An-24B
USSR,92,7,85,0,COM,Aeroflot Flight U-45,Ilyushin Il-18V
USSR,65,8,57,0,COM,Aeroflot Flight 1969,Antonov An-10
USSR,97,4,93,0,COM,Aeroflot Flight 1912,Tupolev Tu-104B
USSR,52,4,48,0,COM,Aeroflot Flight H-63,Antonov An-24B
USSR,57,4,53,0,COM,Aeroflot Flight 2174,Antonov An-24B
USSR,122,7,115,0,COM,Aeroflot Flight 1491,Antonov An-10
USSR,102,9,93,0,COM,Aeroflot Flight 558,Ilyushin Il-18V
USSR,109,8,101,0,COM,Aeroflot Flight 1036,Ilyushin Il-18V
USSR,174,10,164,0,COM,Aeroflot Flight 217,Ilyushin Il-62
USSR,61,9,52,0,COM,Japan Airlines Flight 446,McDonnell Douglas DC-8-62
USSR,79,7,72,0,COM,Aeroflot Flight 630,Ilyushin Il-18V
USSR,63,8,55,0,COM,Aeroflot Flight 6551,Ilyushin Il-18
USSR,82,8,74,0,INH,Aeroflot Flight 109,Tupolev Tu-104B
USSR,108,8,100,0,COM,Aeroflot Flight 3932,Tupolev Tu-104
USSR,122,8,114,0,COM,Aeroflot Flight 964,Tupolev Tu-104B
USSR,51,6,45,0,COM,Aeroflot Flight 2022,Tupolev Tu-124V
USSR,109,7,102,0,COM,Aeroflot (CCCP-75559),Ilyushin Il-18V
USSR,62,5,56,1,COM,Aeroflot Flight 2003,Tupolev Tu-124V
USSR,111,11,100,0,COM,Aeroflot/Armenia Flight 909,Ilyushin Il-18E
USSR,52,6,46,0,COM,Aeroflot Flight 1802,Antonov An-24RV
USSR,64,9,55,0,COM,Aeroflot Flight 7957and Aeroflot Flight 31,Antonov An-24 and Yakovlev Yak-40
USSR,72,5,67,0,COM,Aeroflot Flight 2415,Tupolev Tu-104B
USSR,96,6,90,0,COM,Aeroflot Flight 3843,Tupolev Tu-104A
USSR,77,1,76,0,COM,Aeroflot Flight 5003,Ilyushin Il-18V
USSR,58,1,57,0,COM,Aeroflot Flight 1691,Tupolev Tu-104B
USSR,178,13,165,0,COM,Aeroflot/Moldovia flight 7628 and Aeroflot flight 7880,Tupolev Tu-134A (both)
USSR,63,5,58,0,COM,Aeroflot Flight 5484,Tupolev Tu-124V
USSR,166,10,156,0,COM,Aeroflot Flight 4225,Tupolev Tu-154B-2
USSR,51,6,45,0,COM,Soviet Navy (CCCP-42332),Tupolev Tu-104A
USSR,99,4,95,0,COM,Aeroflot Flight 3603,Tupolev Tu-154B-2
USSR,132,8,124,0,COM,Aeroflot Flight 8641,Yakovlev Yak-42
USSR,90,8,82,0,COM,Aeroflot Flight 411,Ilyushin Il-62M
USSR,90,7,83,0,COM,Aeroflot Flight 5463,Tupolev Tu-134A
USSR,178,5,169,4,COM,Aeroflot Flight 3352,Tupolev Tu-154
USSR,110,7,103,0,COM,Aeroflot Flight 3519,Tupolev 154B-2
USSR,58,3,55,0,COM,Aeroflot Flight 7841,Tupolev Tu-134AK
USSR,94,12,82,0,COM,Aeroflot Flight 8381 andSoviet Air Force (SSSR-26492),Tupolev Tu-134 and Antonov An-26
USSR,200,9,191,0,COM,Aeroflot Flight 7425,Tupolev Tu-154B-2
USSR,54,2,52,0,COM,Aeroflot Flight 2306,Tupolev Tu-134AK
USSR,70,4,66,0,COM,Aeroflot Flight 6502,Tupolev Tu-134A
USSR,57,7,50,0,MIL,Soviet Air Force (CCCP-76569),Ilyushin Il-76MD
USSR,51,4,47,0,COM,Aeroflot Flight C-519,Yakovlev Yak-40
Venezuela,51,9,42,0,COM,Pan Am Flight 217,Boeing 707-321B
Venezuela,155,10,74,71,COM,Viasa Flight 742,McDonnell Douglas DC-9-32
Venezuela,62,11,51,0,COM,Air France Flight 212 (F-BHSZ),Boeing 707-328B
Venezuela,75,6,69,0,COM,Avensa Flight 358,McDonnell Douglas DC-9-14
Venezuela,160,8,152,0,COM,West Caribbean Airways Flight 708,McDonnell Douglas MD-82
Vietnam,85,4,81,0,MIL,US Air Force (56-4376),Fairchild C-123B-18-FA Provider
Vietnam,111,4,0,107,COM,Flying Tiger Line (N228SW),Canadair CL-44D4-1
Vietnam,155,6,149,0,MIL,US Air Force (60-0297),Lockheed C-130B Hercules
Vietnam,76,5,69,2,MIL,Air Vietnam C-54D (XV-NUG)and US Air Force,Douglas C-54D-10-DC Skymaster and F-4 Phantom II
Vietnam,79,6,73,0,MIL,US Air Force (55-4574),Fairchild C-123K
Vietnam,81,10,71,0,INB,Cathay Pacific Airways Flight 700Z,Convair 880-22M-21
Vietnam,58,5,53,0,INB,Air Vietnam (XV-NUI),Douglas C-54D-15-DC Skymaster
Vietnam,75,8,67,0,INH,Air Vietnam Flight 706 hijacking,Boeing 727-121C
Vietnam,138,11,127,0,MIL,US Air Force (68-0218),Lockheed C-5A Galaxy
WestGermany,66,11,55,0,MIL,1955 Altensteig mid-air collision,Fairchild C-119 Flying Boxcar (x2)
WestGermany,52,7,13,32,MIL,US Air Force (55-0291),Convair C-131 Samaritan
WestGermany,52,8,44,0,COM,ČSA Flight 511,Ilyushin Il-18
WestGermany,70,3,0,67,MIL,Ramstein air show disaster,Aermacchi MB-339 PAN (x3)
WestIndies,113,10,103,0,COM,Air France Flight 117,Boeing 707-328
Yemen,58,6,52,0,MIL,Yemen Air Force,Antonov An-12
Yugoslavia,98,6,92,0,COM,Britannia Airways Flight 105,Bristol 175 Britannia 102
Yugoslavia,78,3,75,0,COM,Aviogenex Flight 130,Tupolev Tu-134A
Yugoslavia,176,14,162,0,COM,British Airways Flight 476 andInex Adria Flight 550,Hawker Siddeley Trident 3B andDouglas DC-9-32
Zimbabwe,59,5,54,0,EXG,Air Rhodesia Flight 827,Vickers Viscount 748D
