Country,Total Death,Crew Death,Passengers Death,Ground Death,Type,Incident,Aircraft
Chile,87,7,80,0,COM,LAN Chile Flight 107,Douglas DC-6
China,59,4,55,0,MIL,US Army Air Force (44-78591),Curtiss C-46F-1-CU
China,59,2,57,0,MIL,US Marine Corps (149802),Lockheed KC-130F Hercules
China,112,8,104,0,COM,Civil Aviation Administration of China Flight 3303,Hawker Siddeley Trident
China,108,10,98,0,COM,China Southwest Airlines Flight 4146,Ilyushin Il-18D
China,128,7,121,0,INH,"Xiamen Air Flight 8301,China Southwest Flight 2402,and China Southern (B-2812)","Boeing 737-247, Boeing 707-3J6B, and Boeing 757-21B"
China,108,8,100,0,COM,China General Aviation Flight 7552,Yakovlev Yak-42
China,141,10,131,0,COM,China Southern Airlines Flight 3943,Boeing 737-31B
China,55,1,54,0,COM,China Northwest Airlines Flight 2119,British Aerospace 146
China,160,14,146,0,COM,China Northwest Airlines Flight 2303,Tupolev Tu-154M
China,61,11,50,0,COM,China Southwest Airlines Flight 4509,Tupolev Tu-154M
China,112,9,103,0,COM,China Northern Airlines Flight 6136,McDonnell Douglas MD-82
China,55,6,47,2,COM,China Eastern Airlines Flight 5210,Bombardier CRJ-200LR
Colombia,53,1,0,52,MIL,Santa Ana air show disaster,Curtiss Hawk II
Colombia,53,4,49,0,COM,Avianca (C-114),Douglas DC-4
Colombia,56,4,52,0,COM,Avianca Flight 4,Douglas C-54
Colombia,70,7,63,0,COM,TAC Colombia HK-1810,Sud Aviation SE-210 Caravelle
Colombia,50,6,44,0,COM,Aeropesca Colombia Flight 221,Vickers Viscount 745D
Colombia,80,4,76,0,COM,Fuerza Aérea Colombiana (FAC-902),Douglas DC-6B
Colombia,143,7,136,0,COM,Avianca Flight 410,Boeing 727-21
Colombia,107,6,101,0,INB,Avianca Flight 203,Boeing 727-21
Colombia,132,7,125,0,COM,SAM Colombia Flight 501,Boeing 727-146
Colombia,51,5,46,0,COM,Intercontinental de Aviación Flight 256,Douglas DC-9-14
Colombia,159,8,151,0,COM,American Airlines Flight 965,Boeing 757-223
Colombia,53,10,43,0,COM,Air France Flight 422,Boeing 727-230
Colombia,94,7,87,0,COM,TAME Flight 120,Boeing 727-134
Colombia,71,7,64,0,COM,LaMia Airlines Flight 2933,Avro RJ85
Comoros,125,6,119,0,INH,Ethiopian Airlines Flight 961,Boeing 767-260ER
Comoros,152,11,141,0,COM,Yemenia Flight 626,Airbus A310-324
Cuba,69,9,59,1,COM,Aeroflot Flight 331,Ilyushin Il-62M
Cuba,150,11,115,24,COM,Cubana de Aviación Flight 9046,Ilyushin II-62M
Cuba,68,7,61,0,COM,Aero Caribbean Flight 883,ATR 72-212
Cuba,112,6,106,0,COM,Cubana de Aviación Flight 972,Boeing 737-201 Adv.
Cyprus,126,9,117,0,COM,Globe Air (HB-ITB),Bristol Britannia 313
Czechoslovakia,82,8,74,0,COM,TABSO Flight 101,Ilyushin Il-18B
Czechoslovakia,66,4,62,0,COM,Aeroflot Flight 141,Tupolev Tu-154
Czechoslovakia,75,4,71,0,COM,Inex-Adria Aviopromet Flight 450,McDonnell Douglas DC-9-32
Czechoslovakia,76,6,70,0,COM,ČSA Flight 001,Ilyushin Il-18B
Denmark,55,5,50,0,COM,Partnair Flight 394,Convair CV-580
DominicanRepublic,102,5,97,0,COM,Dominicana de Aviación (HI-177),McDonnell Douglas DC-9-32
DominicanRepublic,189,13,176,0,COM,Birgenair Flight 301,Boeing 757-225
DRCongo,251,2,0,249,COM,Air Africa (RA-26222),Antonov An-32B
DRCongo,51,4,17,30,COM,Malift Air (9Q-COS),Antonov An-26
DRCongo,74,4,70,0,COM,Hewa Bora Airways Flight 952,Boeing 727-022
easternMediterraneanSea,66,10,56,0,COM,EgyptAir Flight 804,Airbus A320-232
EastGermany,156,8,148,0,COM,Interflug (DM-SEA),Ilyushin Il-62
EastGermany,72,9,63,0,COM,Aeroflot Flight 892,Tupolev Tu-134A
Ecuador,59,4,55,0,COM,SAETA Flight 232,Vickers Viscount 785D
Ecuador,57,5,52,0,COM,SAETA (HC-AVP),Vickers Viscount 785D
Ecuador,119,8,111,0,COM,TAME Ecuador (HC-BIG),Boeing 737-200 Advanced
Ecuador,53,4,0,49,COM,Aeroservicios Ecuatorianos Flight 767-103,Douglas DC-8-55F
Ecuador,80,14,56,10,COM,Cubana de Aviación Flight 389,Tupolev Tu-154M
Egypt,55,7,48,0,COM,TWA Flight 903,Lockheed L-749A
Egypt,52,3,49,0,COM,Transports Aériens Intercontinentaux (F-BGOD),Douglas DC-6B
Egypt,121,13,108,0,COM,Pakistan International Airlines Flight 705,Boeing 720 040B
Egypt,100,7,93,0,COM,United Arab Airlines (SU-APC),Ilyushin Il-18D
Egypt,148,13,135,0,COM,Flash Airlines Flight 604,Boeing 737-3Q8
Egypt,224,7,217,0,INB,Metrojet Flight 9268,Airbus A321-231
